"충북","전체",9273,230,15136,9618,224,15687,9538,188,15539,8398,171,13238,7985,160,12135
"충북","1월",630,13,1026,621,12,1040,681,15,1085,648,10,1026,560,5,865
"충북","2월",570,18,989,692,30,1135,581,9,1015,630,9,1006,545,8,849
"충북","3월",711,16,1120,763,8,1214,771,11,1269,597,16,924,649,12,968
"충북","4월",711,14,1210,821,18,1344,794,23,1245,697,14,1087,666,18,1029
"충북","5월",840,26,1304,787,20,1303,878,21,1427,699,11,1132,717,14,1091
"충북","6월",779,20,1258,818,20,1328,802,24,1290,755,8,1222,707,22,1052
"충북","7월",760,21,1293,855,20,1385,797,14,1308,721,12,1096,775,11,1185
"충북","8월",843,17,1385,841,23,1327,851,17,1377,721,20,1123,617,9,946
"충북","9월",907,24,1476,820,20,1437,822,10,1312,759,23,1184,698,11,1044
"충북","10월",839,21,1403,881,17,1397,902,17,1471,802,18,1338,728,23,1102
"충북","11월",907,27,1448,934,18,1484,892,13,1463,768,15,1199,692,14,1063
"충북","12월",776,13,1224,785,18,1293,767,14,1277,601,15,901,631,13,941
"충남","전체",9241,351,14158,8807,354,13283,9404,308,14087,8952,261,13381,8423,265,12197
"충남","1월",678,30,1070,596,18,869,586,27,818,714,27,1071,550,16,752
"충남","2월",567,28,915,632,21,947,582,15,935,619,17,900,587,16,874
"충남","3월",706,27,997,713,39,1048,721,18,1110,586,26,875,641,14,945
"충남","4월",738,22,1192,773,30,1173,759,21,1107,651,19,1031,785,24,1152
"충남","5월",827,35,1236,799,21,1290,864,19,1254,786,18,1192,725,21,1045
"충남","6월",822,28,1206,725,18,1056,826,30,1265,827,17,1229,730,22,1074
"충남","7월",795,29,1266,745,26,1125,804,26,1233,754,24,1116,735,24,1080
"충남","8월",804,30,1211,756,30,1121,833,23,1271,766,25,1174,685,25,966
"충남","9월",909,27,1405,767,45,1162,802,23,1262,829,21,1203,747,27,1085
"충남","10월",823,38,1273,831,40,1242,916,42,1332,921,28,1358,811,29,1170
"충남","11월",820,25,1208,742,35,1157,947,33,1357,774,24,1152,770,22,1120
"충남","12월",752,32,1179,728,31,1093,764,31,1143,725,15,1080,657,25,934
"전북","전체",7748,307,11948,6929,246,10452,7615,238,11651,6451,220,9778,6112,193,8906
"전북","1월",541,20,883,533,20,796,491,14,733,573,20,854,428,8,634
"전북","2월",544,21,871,489,19,786,516,17,853,482,16,743,423,14,620
"전북","3월",614,21,882,549,12,766,592,17,888,489,18,746,530,15,797
"전북","4월",644,24,1018,605,20,877,623,16,1018,511,11,748,506,17,730
"전북","5월",695,23,1073,599,23,929,713,23,1098,544,17,828,502,19,721
"전북","6월",676,16,1008,569,19,864,651,20,967,580,18,897,516,18,755
"전북","7월",639,27,1007,555,27,815,622,15,908,553,21,876,577,17,870
"전북","8월",672,23,1060,585,19,934,705,23,1162,537,20,876,490,19,743
"전북","9월",755,41,1125,623,25,977,637,22,1006,579,20,856,521,14,741
"전북","10월",716,33,1130,652,26,957,721,31,1055,612,22,886,588,18,843
"전북","11월",648,27,992,626,20,940,706,23,1041,556,21,835,577,23,811
"전북","12월",604,31,899,544,16,811,638,17,922,435,16,633,454,11,641
"전남","전체",9770,387,15672,9787,330,15680,10877,294,17905,9816,273,15645,8685,255,13522
"전남","1월",741,30,1257,668,29,1129,793,23,1259,836,20,1326,591,25,920
"전남","2월",598,18,933,665,18,1052,678,17,1152,709,21,1123,612,11,971
"전남","3월",719,25,1120,762,27,1204,847,24,1332,764,20,1210,727,20,1093
"전남","4월",847,31,1420,841,23,1362,911,28,1609,705,11,1107,726,19,1140
"전남","5월",900,39,1502,843,32,1376,1001,31,1677,874,25,1453,745,21,1178
"전남","6월",798,22,1291,798,23,1297,906,24,1485,963,29,1568,750,19,1217
"전남","7월",771,25,1214,863,22,1422,872,16,1419,764,17,1247,770,23,1208
"전남","8월",855,44,1324,859,37,1382,943,24,1547,831,28,1342,748,18,1193
