"경북","1월",1030,29,1527,854,20,1283
"경북","2월",858,23,1259,811,14,1220
"경북","3월",801,17,1168,968,27,1370
"경북","4월",959,21,1381,1047,22,1528
"경북","5월",1097,41,1636,1012,29,1509
"경북","6월",1181,33,1736,1057,20,1556
"경북","7월",1138,29,1704,1107,35,1650
"경북","8월",1140,40,1787,986,33,1467
"경북","9월",1086,26,1566,995,29,1447
"경북","10월",1226,41,1828,1168,36,1685
"경북","11월",1150,26,1696,1121,36,1607
"경북","12월",1007,28,1435,974,33,1368
"경남","전체",11739,280,16607,11059,257,15414
"경남","1월",928,30,1321,831,28,1127
"경남","2월",819,24,1147,798,17,1155
"경남","3월",883,22,1260,868,18,1208
"경남","4월",915,17,1292,990,17,1372
"경남","5월",992,19,1396,962,24,1391
"경남","6월",1149,24,1605,920,23,1283
"경남","7월",987,17,1437,1001,18,1406
"경남","8월",1064,22,1605,867,17,1228
"경남","9월",986,24,1370,898,19,1241
"경남","10월",1103,33,1550,1006,27,1403
"경남","11월",1015,28,1391,1032,27,1411
"경남","12월",898,20,1233,886,22,1189
"제주","전체",4030,68,6131,4373,52,6725
"제주","1월",349,8,513,272,4,393
"제주","2월",282,1,388,305,3,462
"제주","3월",305,5,432,346,3,522
"제주","4월",269,6,417,366,7,619
"제주","5월",325,6,484,387,5,611
"제주","6월",337,6,502,383,2,586
"제주","7월",370,4,585,410,1,627
"제주","8월",386,4,655,382,7,604
"제주","9월",352,9,506,335,3,527
"제주","10월",401,5,663,423,3,641
"제주","11월",363,12,569,403,3,580
"제주","12월",291,2,417,361,11,553
